ticker,name,sector,industry
NSSC,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services
PRLB,"Proto Labs, Inc.",Industrials,Metal Fabrication
ATRC,"AtriCure, Inc.",Healthcare,Medical Instruments & Supplies
AXGN,"Axogen, Inc.",Healthcare,Medical Devices
PRGS,Progress Software Corporation,Technology,Software - Infrastructure
SMPL,The Simply Good Foods Company,Consumer Defensive,Packaged Foods
PAYO,Payoneer Global Inc.,Technology,Software - Infrastructure
STOK,"Stoke Therapeutics, Inc.",Healthcare,Biotechnology
FRSH,Freshworks Inc.,Technology,Software - Application
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel
GABC,"German American Bancorp, Inc.",Financial Services,Banks - Regional
SGHC,Super Group (SGHC) Limited,Consumer Cyclical,Gambling
RCUS,"Arcus Biosciences, Inc.",Healthcare,Biotechnology
CLDX,"Celldex Therapeutics, Inc.",Healthcare,Biotechnology
WVE,Wave Life Sciences Ltd.,Healthcare,Biotechnology
QCRH,"QCR Holdings, Inc.",Financial Services,Banks - Regional
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel
MQ,"Marqeta, Inc.",Technology,Software - Infrastructure
HOPE,"Hope Bancorp, Inc.",Financial Services,Banks - Regional
CTS,CTS Corporation,Technology,Electronic Components
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Retail
MXL,"MaxLinear, Inc.",Technology,Semiconductors
MLKN,"MillerKnoll, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NNI,"Nelnet, Inc.",Financial Services,Credit Services
LZB,La-Z-Boy Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TNC,Tennant Company,Industrials,Specialty Industrial Machinery
ALGT,Allegiant Travel Company,Industrials,Airlines
CRI,"Carter's, Inc.",Consumer Cyclical,Apparel Retail
HRMY,"Harmony Biosciences Holdings, Inc.",Healthcare,Biotechnology
LKFN,Lakeland Financial Corporation,Financial Services,Banks - Regional
NESR,National Energy Services Reunited Corp.,Energy,Oil & Gas Equipment & Services
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P
CBZ,"CBIZ, Inc.",Industrials,Specialty Business Services
NVRI,Enviri Corporation,Industrials,Waste Management
UTI,"Universal Technical Institute, Inc.",Consumer Defensive,Education & Training Services
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REIT - Mortgage
MBC,"MasterBrand, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
INVA,"Innoviva, Inc.",Healthcare,Biotechnology
BRZE,"Braze, Inc.",Technology,Software - Application
LNN,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery
WWW,"Wolverine World Wide, Inc.",Consumer Cyclical,Footwear & Accessories
LOB,"Live Oak Bancshares, Inc.",Financial Services,Banks - Regional
BRSL,Brightstar Lottery PLC,Consumer Cyclical,Gambling
WS,"Worthington Steel, Inc.",Basic Materials,Steel
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing
TTI,"TETRA Technologies, Inc.",Industrials,Conglomerates
ICFI,"ICF International, Inc.",Industrials,Consulting Services
HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities
AAMI,Acadian Asset Management Inc.,Financial Services,Asset Management
PRCT,PROCEPT BioRobotics Corporation,Healthcare,Medical Devices
FDP,Fresh Del Monte Produce Inc.,Consumer Defensive,Farm Products
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
OLMA,"Olema Pharmaceuticals, Inc.",Healthcare,Biotechnology
CRVL,CorVel Corporation,Financial Services,Insurance Brokers
INOD,Innodata Inc.,Technology,Information Technology Services
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities
RXRX,"Recursion Pharmaceuticals, Inc.",Healthcare,Biotechnology
SCL,Stepan Company,Basic Materials,Specialty Chemicals
TGLS,Tecnoglass Inc.,Basic Materials,Building Materials
SILA,"Sila Realty Trust, Inc.",Real Estate,REIT - Healthcare Facilities
GENI,Genius Sports Limited,Communication Services,Internet Content & Information
TFIN,"Triumph Financial, Inc.",Financial Services,Banks - Regional
ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure
ENR,"Energizer Holdings, Inc.",Industrials,Electrical Equipment & Parts
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Financial Services,Banks - Regional
DCOM,"Dime Community Bancshares, Inc.",Financial Services,Banks - Regional
CNMD,CONMED Corporation,Healthcare,Medical Devices
WINA,Winmark Corporation,Consumer Cyclical,Specialty Retail
NVAX,"Novavax, Inc.",Healthcare,Biotechnology
UNIT,Uniti Group Inc.,Real Estate,REIT - Specialty
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials
HG,"Hamilton Insurance Group, Ltd.",Financial Services,Insurance - Reinsurance
AI,"C3.ai, Inc.",Technology,Software - Infrastructure
VYX,NCR Voyix Corporation,Technology,Information Technology Services
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office
DOLE,Dole plc,Consumer Defensive,Farm Products
NTLA,"Intellia Therapeutics, Inc.",Healthcare,Biotechnology
FIVN,"Five9, Inc.",Technology,Software - Infrastructure
WTTR,"Select Water Solutions, Inc.",Energy,Oil & Gas Equipment & Services
CNOB,"ConnectOne Bancorp, Inc.",Financial Services,Banks - Regional
FLYW,Flywire Corporation,Technology,Software - Infrastructure
NUVB,Nuvation Bio Inc.,Healthcare,Biotechnology
ECVT,Ecovyst Inc.,Basic Materials,Specialty Chemicals
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services
VTOL,Bristow Group Inc.,Energy,Oil & Gas Equipment & Services
SRCE,1st Source Corporation,Financial Services,Banks - Regional
OBK,"Origin Bancorp, Inc.",Financial Services,Banks - Regional
JJSF,J&J Snack Foods Corp.,Consumer Defensive,Packaged Foods
RCAT,"Red Cat Holdings, Inc.",Industrials,Aerospace & Defense
MLYS,"Mineralys Therapeutics, Inc.",Healthcare,Biotechnology
GRC,The Gorman-Rupp Company,Industrials,Specialty Industrial Machinery
ECPG,"Encore Capital Group, Inc.",Financial Services,Credit Services
VRE,"Veris Residential, Inc.",Real Estate,REIT - Residential
YELP,Yelp Inc.,Communication Services,Internet Content & Information
OCUL,"Ocular Therapeutix, Inc.",Healthcare,Biotechnology
TNGX,"Tango Therapeutics, Inc.",Healthcare,Biotechnology
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Midstream
ASTE,"Astec Industries, Inc.",Industrials,Farm & Heavy Construction Machinery
GPGI,"GPGI, Inc.",Industrials,Metal Fabrication
ENOV,Enovis Corporation,Healthcare,Medical Devices
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial
UVV,Universal Corporation,Consumer Defensive,Tobacco
NEO,"NeoGenomics, Inc.",Healthcare,Diagnostics & Research
NVTS,Navitas Semiconductor Corporation,Technology,Semiconductors
UMH,"UMH Properties, Inc.",Real Estate,REIT - Residential
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities
TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Telecom Services
BFC,Bank First Corporation,Financial Services,Banks - Regional
CMPR,Cimpress plc,Industrials,Specialty Business Services
WABC,Westamerica Bancorporation,Financial Services,Banks - Regional
PWP,Perella Weinberg Partners,Financial Services,Capital Markets
INTA,"Intapp, Inc.",Technology,Software - Application
XPEL,"XPEL, Inc.",Consumer Cyclical,Auto Parts
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services
TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Medical Devices
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty
WGO,"Winnebago Industries, Inc.",Consumer Cyclical,Recreational Vehicles
SFL,SFL Corporation Ltd.,Industrials,Marine Shipping
ORKA,"Oruka Therapeutics, Inc.",Healthcare,Biotechnology
RLAY,"Relay Therapeutics, Inc.",Healthcare,Biotechnology
LADR,Ladder Capital Corp,Real Estate,REIT - Mortgage
IMKTA,"Ingles Markets, Incorporated",Consumer Defensive,Grocery Stores
ZD,"Ziff Davis, Inc.",Communication Services,Advertising Agencies
PRA,ProAssurance Corporation,Financial Services,Insurance - Property & Casualty
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage
AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
CDRE,"Cadre Holdings, Inc.",Industrials,Aerospace & Defense
DFIN,"Donnelley Financial Solutions, Inc.",Technology,Software - Application
WLY,"John Wiley & Sons, Inc.",Communication Services,Publishing
DLX,Deluxe Corporation,Industrials,Conglomerates
MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Resorts & Casinos
TRS,TriMas Corporation,Consumer Cyclical,Packaging & Containers
DNTH,"Dianthus Therapeutics, Inc.",Healthcare,Biotechnology
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,Travel Services
HLIT,Harmonic Inc.,Technology,Communication Equipment
NPKI,NPK International Inc.,Energy,Oil & Gas Equipment & Services
PCT,"PureCycle Technologies, Inc.",Industrials,Pollution & Treatment Controls
TWO,Two Harbors Investment Corp.,Real Estate,REIT - Mortgage
PEBO,Peoples Bancorp Inc.,Financial Services,Banks - Regional
SGRY,"Surgery Partners, Inc.",Healthcare,Medical Care Facilities
EFC,Ellington Financial Inc.,Real Estate,REIT - Mortgage
LFST,"LifeStance Health Group, Inc.",Healthcare,Medical Care Facilities
MBIN,Merchants Bancorp,Financial Services,Banks - Regional
PBI,Pitney Bowes Inc.,Industrials,Integrated Freight & Logistics
BWIN,"The Baldwin Insurance Group, Inc.",Financial Services,Insurance Brokers
RLJ,RLJ Lodging Trust,Real Estate,REIT - Hotel & Motel
GIII,"G-III Apparel Group, Ltd.",Consumer Cyclical,Apparel Manufacturing
ARLO,"Arlo Technologies, Inc.",Industrials,Building Products & Equipment
ZYME,Zymeworks Inc.,Healthcare,Biotechnology
UPBD,"Upbound Group, Inc.",Technology,Software - Application
SAFT,"Safety Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty
NVCR,NovoCure Limited,Healthcare,Medical Devices
FIHL,Fidelis Insurance Holdings Limited,Financial Services,Insurance - Diversified
USLM,"United States Lime & Minerals, Inc.",Basic Materials,Building Materials
ALKT,"Alkami Technology, Inc.",Technology,Software - Application
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage
ORC,"Orchid Island Capital, Inc.",Real Estate,REIT - Mortgage
CAPR,"Capricor Therapeutics, Inc.",Healthcare,Biotechnology
GLDD,Great Lakes Dredge & Dock Corporation,Industrials,Engineering & Construction
REAL,"The RealReal, Inc.",Consumer Cyclical,Luxury Goods
GOLD,"Gold.com, Inc.",Financial Services,Capital Markets
OCFC,OceanFirst Financial Corp.,Financial Services,Banks - Regional
TMP,Tompkins Financial Corporation,Financial Services,Banks - Regional
PMT,PennyMac Mortgage Investment Trust,Real Estate,REIT - Mortgage
EYPT,"EyePoint, Inc.",Healthcare,Biotechnology
SMA,"SmartStop Self Storage REIT, Inc.",Real Estate,REIT - Industrial
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling
LGIH,"LGI Homes, Inc.",Consumer Cyclical,Residential Construction
MSFUT,,,
PNTG,"The Pennant Group, Inc.",Healthcare,Medical Care Facilities
TRUP,"Trupanion, Inc.",Financial Services,Insurance - Property & Casualty
CCB,Coastal Financial Corporation,Financial Services,Banks - Regional
PZZA,"Papa John's International, Inc.",Consumer Cyclical,Restaurants
BHVN,Biohaven Ltd.,Healthcare,Biotechnology
CSR,Centerspace,Real Estate,REIT - Residential
RYI,Ryerson Holding Corporation,Industrials,Metal Fabrication
MFA,"MFA Financial, Inc.",Real Estate,REIT - Mortgage
TSHA,"Taysha Gene Therapies, Inc.",Healthcare,Biotechnology
ALH,Alliance Laundry Holdings Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FLNC,"Fluence Energy, Inc.",Utilities,Utilities - Renewable
BY,"Byline Bancorp, Inc.",Financial Services,Banks - Regional
MBX,"MBX Biosciences, Inc.",Healthcare,Biotechnology
CRAI,"CRA International, Inc.",Industrials,Consulting Services
PAHC,Phibro Animal Health Corporation,Healthcare,Drug Manufacturers - Specialty & Generic
FG,"F&G Annuities & Life, Inc.",Financial Services,Insurance - Life
SEZL,Sezzle Inc.,Financial Services,Credit Services
DAKT,"Daktronics, Inc.",Technology,Electronic Components
CDNA,"CareDx, Inc.",Healthcare,Diagnostics & Research
LIF,"Life360, Inc.",Technology,Software - Application
OUST,"Ouster, Inc.",Technology,Electronic Components
SNCY,"Sun Country Airlines Holdings, Inc.",Industrials,Airlines
GERN,Geron Corporation,Healthcare,Biotechnology
PCRX,"Pacira BioSciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
XERS,"Xeris Biopharma Holdings, Inc.",Healthcare,Biotechnology
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices
UVSP,Univest Financial Corporation,Financial Services,Banks - Regional
OSBC,"Old Second Bancorp, Inc.",Financial Services,Banks - Regional
PDFS,"PDF Solutions, Inc.",Technology,Software - Application
GSHD,"Goosehead Insurance, Inc.",Financial Services,Insurance Brokers
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
NNE,NANO Nuclear Energy Inc.,Industrials,Specialty Industrial Machinery
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified
ELVN,"Enliven Therapeutics, Inc.",Healthcare,Biotechnology
ENVX,Enovix Corporation,Industrials,Electrical Equipment & Parts
ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology
LMB,"Limbach Holdings, Inc.",Industrials,Building Products & Equipment
RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail
LILAK,Liberty Latin America Ltd.,Communication Services,Telecom Services
EIG,"Employers Holdings, Inc.",Financial Services,Insurance - Specialty
FTRE,Fortrea Holdings Inc.,Healthcare,Biotechnology
BV,"BrightView Holdings, Inc.",Industrials,Specialty Business Services
NX,Quanex Building Products Corporation,Industrials,Building Products & Equipment
CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,Biotechnology
PENG,"Penguin Solutions, Inc.",Technology,Information Technology Services
PDM,"Piedmont Realty Trust, Inc.",Real Estate,REIT - Office
EE,"Excelerate Energy, Inc.",Energy,Oil & Gas Midstream
DEA,"Easterly Government Properties, Inc.",Real Estate,REIT - Office
CTBI,"Community Trust Bancorp, Inc.",Financial Services,Banks - Regional
EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products
WMK,"Weis Markets, Inc.",Consumer Defensive,Grocery Stores
DRVN,Driven Brands Holdings Inc.,Consumer Cyclical,Auto & Truck Dealerships
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Services
REX,REX American Resources Corporation,Basic Materials,Chemicals
FIGS,"FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing
MSEX,Middlesex Water Company,Utilities,Utilities - Regulated Water
NAT,Nordic American Tankers Limited,Energy,Oil & Gas Midstream
SAH,"Sonic Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships
FMBH,"First Mid Bancshares, Inc.",Financial Services,Banks - Regional
PRKS,United Parks & Resorts Inc.,Consumer Cyclical,Leisure
HFWA,Heritage Financial Corporation,Financial Services,Banks - Regional
VRTS,"Virtus Investment Partners, Inc.",Financial Services,Asset Management
APPN,Appian Corporation,Technology,Software - Infrastructure
ALNT,Allient Inc.,Technology,Electronic Components
JBI,"Janus International Group, Inc.",Industrials,Building Products & Equipment
MAZE,"Maze Therapeutics, Inc.",Healthcare,Biotechnology
GO,Grocery Outlet Holding Corp.,Consumer Defensive,Grocery Stores
TRVI,"Trevi Therapeutics, Inc.",Healthcare,Biotechnology
AMAL,Amalgamated Financial Corp.,Financial Services,Banks - Regional
SBSI,"Southside Bancshares, Inc.",Financial Services,Banks - Regional
MIAX,"Miami International Holdings, Inc.",Financial Services,Capital Markets
THRM,Gentherm Incorporated,Consumer Cyclical,Auto Parts
VITL,"Vital Farms, Inc.",Consumer Defensive,Farm Products
BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies
JBGS,JBG SMITH Properties,Real Estate,REIT - Office
PLOW,"Douglas Dynamics, Inc.",Consumer Cyclical,Auto Parts
DAWN,"Day One Biopharmaceuticals, Inc.",Healthcare,Biotechnology
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services
PAX,Patria Investments Limited,Financial Services,Asset Management
PUMP,ProPetro Holding Corp.,Energy,Oil & Gas Equipment & Services
LINC,Lincoln Educational Services Corporation,Consumer Defensive,Education & Training Services
NSP,"Insperity, Inc.",Industrials,Staffing & Employment Services
GPRE,Green Plains Inc.,Basic Materials,Chemicals
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,Auto Parts
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic
UAMY,United States Antimony Corporation,Basic Materials,Other Industrial Metals & Mining
LZ,"LegalZoom.com, Inc.",Industrials,Specialty Business Services
SAFE,Safehold Inc.,Real Estate,REIT - Diversified
TRST,TrustCo Bank Corp NY,Financial Services,Banks - Regional
CFFN,"Capitol Federal Financial, Inc.",Financial Services,Banks - Regional
BHRB,Burke & Herbert Financial Services Corp.,Financial Services,Banks - Regional
GLUE,"Monte Rosa Therapeutics, Inc.",Healthcare,Biotechnology
VERX,"Vertex, Inc.",Technology,Software - Application
CSTL,"Castle Biosciences, Inc.",Healthcare,Diagnostics & Research
STAA,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies
VSTS,Vestis Corporation,Industrials,Rental & Leasing Services
MCB,Metropolitan Bank Holding Corp.,Financial Services,Banks - Regional
KOD,Kodiak Sciences Inc.,Healthcare,Biotechnology
NBN,Northeast Bank,Financial Services,Banks - Regional
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment
COUR,"Coursera, Inc.",Consumer Defensive,Education & Training Services
ESRT,"Empire State Realty Trust, Inc.",Real Estate,REIT - Diversified
UTL,Unitil Corporation,Utilities,Utilities - Diversified
TDOC,"Teladoc Health, Inc.",Healthcare,Health Information Services
PAR,PAR Technology Corporation,Technology,Software - Application
IOVA,"Iovance Biotherapeutics, Inc.",Healthcare,Biotechnology
SKYT,"SkyWater Technology, Inc.",Technology,Semiconductors
MBWM,Mercantile Bank Corporation,Financial Services,Banks - Regional
CLB,Core Laboratories Inc.,Energy,Oil & Gas Equipment & Services
GCT,GigaCloud Technology Inc.,Technology,Software - Infrastructure
HBNC,"Horizon Bancorp, Inc.",Financial Services,Banks - Regional
TDAY,"USA TODAY Co., Inc.",Communication Services,Publishing
DEC,Diversified Energy Company,Energy,Oil & Gas Integrated
AEHR,"Aehr Test Systems, Inc.",Technology,Semiconductor Equipment & Materials
CLOV,"Clover Health Investments, Corp.",Healthcare,Healthcare Plans
FWRG,"First Watch Restaurant Group, Inc.",Consumer Cyclical,Restaurants
SCSC,"ScanSource, Inc.",Technology,Electronics & Computer Distribution
RAPP,"Rapport Therapeutics, Inc.",Healthcare,Biotechnology
BJRI,"BJ's Restaurants, Inc.",Consumer Cyclical,Restaurants
KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P
NBBK,"NB Bancorp, Inc.",Financial Services,Banks - Regional
CCNE,CNB Financial Corporation,Financial Services,Banks - Regional
HAFC,Hanmi Financial Corporation,Financial Services,Banks - Regional
TE,T1 Energy Inc.,Industrials,Electrical Equipment & Parts
BBUC,Brookfield Business Corporation,Financial Services,Asset Management
RWT,"Redwood Trust, Inc.",Real Estate,REIT - Mortgage
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential
CMPX,"Compass Therapeutics, Inc.",Healthcare,Biotechnology
GHM,Graham Corporation,Industrials,Specialty Industrial Machinery
AMTB,Amerant Bancorp Inc.,Financial Services,Banks - Regional
EVLV,"Evolv Technologies Holdings, Inc.",Industrials,Security & Protection Services
MYE,"Myers Industries, Inc.",Consumer Cyclical,Packaging & Containers
XNCR,"Xencor, Inc.",Healthcare,Biotechnology
TROX,Tronox Holdings plc,Basic Materials,Chemicals
